,seq_length,seq_batch_size,layer_one_neurons,layer_two_neurons,layer_three_neurons,layer_four_neurons,dropout_rate,stop_patience,learning_rate,epochs,mse_train,mse_test,mape_train,mape_test
0,24,256,64,32,16,8,0.0,5,0.001,40,70748880,74222816,7,7
1,24,256,64,32,16,8,0.2,5,0.001,40,924590848,272606144,26,14
2,24,256,64,32,16,16,0.0,5,0.001,40,49686680,71596640,6,7
3,24,256,64,32,16,16,0.2,5,0.001,40,321546144,534581440,15,23
4,24,256,64,32,32,8,0.0,5,0.001,40,71329392,80752560,7,7
5,24,256,64,32,32,8,0.2,5,0.001,40,582649344,75534864,21,7
6,24,256,64,32,32,16,0.0,5,0.001,40,74949576,97611928,7,8
7,24,256,64,32,32,16,0.2,5,0.001,40,506059168,108802752,19,9
8,24,256,64,64,16,8,0.0,5,0.001,40,143345200,473064064,10,22
9,24,256,64,64,16,8,0.2,5,0.001,40,906435328,322437952,26,16
10,24,256,64,64,16,16,0.0,5,0.001,40,62429284,122702344,6,10
11,24,256,64,64,16,16,0.2,5,0.001,40,377047008,134569136,16,10
12,24,256,64,64,32,8,0.0,5,0.001,40,56199272,69299768,6,7
13,24,256,64,64,32,8,0.2,5,0.001,40,503549312,130182704,19,10
14,24,256,64,64,32,16,0.0,5,0.001,40,58163124,64061272,6,7
15,24,256,64,64,32,16,0.2,5,0.001,40,363066912,65827548,16,7
16,24,256,128,32,16,8,0.0,5,0.001,40,80649416,69602336,7,7
17,24,256,128,32,16,8,0.2,5,0.001,40,1208475264,145586704,29,10
18,24,256,128,32,16,16,0.0,5,0.001,40,48863868,162320512,6,12
19,24,256,128,32,16,16,0.2,5,0.001,40,400095520,174474432,17,11
20,24,256,128,32,32,8,0.0,5,0.001,40,146445248,124975800,10,10
21,24,256,128,32,32,8,0.2,5,0.001,40,521695328,120598496,19,9
22,24,256,128,32,32,16,0.0,5,0.001,40,42850132,44054740,5,5
23,24,256,128,32,32,16,0.2,5,0.001,40,310798400,81829432,15,7
24,24,256,128,64,16,8,0.0,5,0.001,40,94412608,88580584,8,8
25,24,256,128,64,16,8,0.2,5,0.001,40,1186629504,1271454720,30,33
26,24,256,128,64,16,16,0.0,5,0.001,40,43268892,61895568,5,7
27,24,256,128,64,16,16,0.2,5,0.001,40,451956224,141278160,18,10
28,24,256,128,64,32,8,0.0,5,0.001,40,81776552,216082384,7,14
29,24,256,128,64,32,8,0.2,5,0.001,40,1160191360,201661008,29,13
30,24,256,128,64,32,16,0.0,5,0.001,40,87992120,138803024,7,9
31,24,256,128,64,32,16,0.2,5,0.001,40,341553152,44821752,16,5
32,24,512,64,32,16,8,0.0,5,0.001,40,93345480,121365312,8,10
33,24,512,64,32,16,8,0.2,5,0.001,40,747164352,2041934080,24,45
