,seq_length,seq_batch_size,layer_one_neurons,layer_two_neurons,layer_three_neurons,layer_four_neurons,dropout_rate,stop_patience,learning_rate,epochs,mse_train,mse_test,mape_train,mape_test
0,12,256,128,32,16,16,0.0,3,0.001,40,57331505.80299186,78048484.2764566,6.939324003352019,8.011879145122837
1,12,256,128,32,16,16,0.0,3,0.001,80,57331505.80299186,78048484.2764566,6.939324003352019,8.011879145122837
2,12,256,128,32,16,16,0.0,3,0.01,40,81097424.1070185,91941165.99928933,7.211341009381137,7.561516009530954
3,12,256,128,32,16,16,0.0,3,0.01,80,81097424.1070185,91941165.99928933,7.211341009381137,7.561516009530954
4,12,256,128,32,16,16,0.0,4,0.001,40,39782435.96001994,59523683.83857026,5.518662626723551,6.857170191252762
5,12,256,128,32,16,16,0.0,4,0.001,80,39782435.96001994,59523683.83857026,5.518662626723551,6.857170191252762
6,12,256,128,32,16,16,0.0,4,0.01,40,32125874.48718317,50735261.811491735,4.410469616171645,5.758390055703506
7,12,256,128,32,16,16,0.0,4,0.01,80,32125874.48718317,50735261.811491735,4.410469616171645,5.758390055703506
8,12,256,128,32,16,16,0.2,3,0.001,40,369427745.4056234,373738944.23379636,19.02904361177025,18.74092336152346
9,12,256,128,32,16,16,0.2,3,0.001,80,369427745.4056234,373738944.23379636,19.02904361177025,18.74092336152346
10,12,256,128,32,16,16,0.2,3,0.01,40,126652419.41646957,137790257.32359925,9.410237438448664,9.595513436763348
11,12,256,128,32,16,16,0.2,3,0.01,80,126652419.41646957,137790257.32359925,9.410237438448664,9.595513436763348
12,12,256,128,32,16,16,0.2,4,0.001,40,227204766.8581615,240786476.07954827,14.064795839005468,13.745422250302965
13,12,256,128,32,16,16,0.2,4,0.001,80,227204766.8581615,240786476.07954827,14.064795839005468,13.745422250302965
14,12,256,128,32,16,16,0.2,4,0.01,40,1187838602.3380747,1178522129.2971358,36.09374797483369,35.79251569739637
15,12,256,128,32,16,16,0.2,4,0.01,80,1187838602.3380747,1178522129.2971358,36.09374797483369,35.79251569739637
16,12,256,128,32,16,16,0.4,3,0.001,40,990352138.6462877,987739319.4757552,32.38166344184529,32.072717811470774
17,12,256,128,32,16,16,0.4,3,0.001,80,990352138.6462877,987739319.4757552,32.38166344184529,32.072717811470774
18,12,256,128,32,16,16,0.4,3,0.01,40,427327522.3805702,426435922.3999495,18.82205702061144,18.501808184344846
19,12,256,128,32,16,16,0.4,3,0.01,80,427327522.3805702,426435922.3999495,18.82205702061144,18.501808184344846
20,12,256,128,32,16,16,0.4,4,0.001,40,1295453539.9643426,1287004712.696913,38.280962801044495,38.00146972723027
21,12,256,128,32,16,16,0.4,4,0.001,80,1295453539.9643426,1287004712.696913,38.280962801044495,38.00146972723027
22,12,256,128,32,16,16,0.4,4,0.01,40,733519712.5401877,732460188.0976706,27.001553238336957,26.682378158303315
